"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Unreported_Infected_Mean","Current_Unreported_Infected_Upper_CI","Current_Unreported_Infected_Lower_CI","Total_Current_Cases_Mean","Total_Current_Cases_Upper_CI","Total_Current_Cases_Lower_CI","Cum_Reported_Cases_Mean","Cum_Reported_Cases_Upper_CI","Cum_Reported_Cases_Lower_CI","Cum_Unreported_Cases_Mean","Cum_Unreported_Cases_Upper_CI","Cum_Unreported_Cases_Lower_CI","Total_Cum_Cases_Mean","Total_Cum_Cases_Upper_CI","Total_Cum_Cases_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","Total_Deceased_Mean","Total_Deceased_Upper_CI","Total_Deceased_Lower_CI","place"
2020-06-14,145550,152144,139156,662213,689861,633127,807763,842005,772283,331814,346209,318134,1775506,1850441,1698272,2107320,2196650,2016406,3170,3331,3003,5535,5783,5268,8705,9114,8271,"India"
2020-06-15,150329,157187,143806,685664,714278,655131,835993,871465,798937,344765,359707,330629,1856124,1934282,1775449,2200889,2293989,2106078,3309,3481,3130,5805,6079,5524,9114,9560,8654,"India"
2020-06-16,155298,162278,148477,709900,740031,678425,865198,902309,826902,358171,373584,343522,1939538,2021508,1855246,2297709,2395092,2198768,3453,3636,3271,6087,6366,5789,9540,10002,9060,"India"
2020-06-17,160453,167709,153272,734928,766286,702295,895381,933995,855567,372045,388192,356652,2025858,2111626,1937582,2397903,2499818,2294234,3601,3790,3414,6376,6668,6057,9977,10458,9471,"India"
2020-06-18,165793,173152,158441,760811,793298,726772,926604,966450,885213,386397,403015,370441,2115210,2205069,2023027,2501607,2608084,2393468,3754,3951,3554,6676,6986,6350,10430,10937,9904,"India"
2020-06-19,171343,178853,163693,787555,821325,752160,958898,1000178,915853,401252,418468,384602,2207653,2301822,2111160,2608905,2720290,2495762,3912,4108,3697,6987,7300,6651,10899,11408,10348,"India"
2020-06-20,177098,184828,169200,815229,849894,778391,992327,1034722,947591,416624,434541,399384,2303322,2401441,2202429,2719946,2835982,2601813,4076,4292,3853,7309,7626,6963,11385,11918,10816,"India"
2020-06-21,183061,191044,175001,843853,880253,805991,1026914,1071297,980992,432533,451293,414615,2402350,2505262,2297120,2834883,2956555,2711735,4245,4466,4023,7643,7987,7281,11888,12453,11304,"India"
2020-06-22,189253,197584,180826,873455,911349,834164,1062708,1108933,1014990,448997,468622,430297,2504820,2611984,2394684,2953817,3080606,2824981,4421,4648,4197,7988,8346,7616,12409,12994,11813,"India"
2020-06-23,195660,204425,186936,904030,943735,863699,1099690,1148160,1050635,466024,486557,446646,2610832,2722714,2496463,3076856,3209271,2943109,4602,4833,4364,8345,8720,7972,12947,13553,12336,"India"
2020-06-24,202299,211384,193313,935648,976561,893983,1137947,1187945,1087296,483648,505072,463595,2720551,2836624,2601302,3204199,3341696,3064897,4789,5031,4532,8714,9124,8318,13503,14155,12850,"India"
2020-06-25,209181,218499,199968,968407,1010811,924879,1177588,1229310,1124847,501892,524026,481141,2834109,2955328,2709416,3336001,3479354,3190557,4982,5237,4727,9096,9518,8681,14078,14755,13408,"India"
2020-06-26,216314,225841,206665,1002266,1046007,957384,1218580,1271848,1164049,520759,543745,499098,2951611,3077313,2821647,3472370,3621058,3320745,5182,5437,4913,9491,9935,9062,14673,15372,13975,"India"
2020-06-27,223700,233497,213705,1037278,1082783,990448,1260978,1316280,1204153,540289,564160,517705,3073189,3204453,2937333,3613478,3768613,3455038,5389,5655,5125,9899,10343,9451,15288,15998,14576,"India"
2020-06-28,231355,241557,221328,1073451,1120486,1025014,1304806,1362043,1246342,560502,585273,537388,3198970,3335732,3057383,3759472,3921005,3594771,5601,5878,5314,10321,10786,9871,15922,16664,15185,"India"
2020-06-29,239280,249708,228801,1110893,1159564,1060961,1350173,1409272,1289762,581413,607045,557334,3329131,3471560,3181558,3910544,4078605,3738892,5822,6112,5532,10759,11251,10292,16581,17363,15824,"India"
2020-06-30,247499,258376,236725,1149637,1200494,1098021,1397136,1458870,1334746,603058,629782,578179,3463828,3612729,3310196,4066886,4242511,3888375,6050,6360,5752,11211,11716,10723,17261,18076,16475,"India"
2020-07-01,254119,264987,243286,1191499,1244216,1138247,1445618,1509203,1381533,623566,650983,597961,3605019,3760105,3445345,4228585,4411088,4043306,6286,6608,5968,11679,12211,11167,17965,18819,17135,"India"
2020-07-02,261254,272362,250326,1235980,1290709,1181692,1497234,1563071,1432018,644968,673289,618578,3752479,3914204,3586853,4397447,4587493,4205431,6530,6863,6206,12164,12725,11599,18694,19588,17805,"India"
2020-07-03,268897,280402,257873,1282791,1339931,1226952,1551688,1620333,1484825,667268,696593,640228,3906160,4074984,3734116,4573428,4771577,4374344,6780,7129,6444,12665,13244,12083,19445,20373,18527,"India"
2020-07-04,277023,288814,265562,1331696,1390638,1273533,1608719,1679452,1539095,690482,720870,662346,4066034,4241570,3886725,4756516,4962440,4549071,7036,7391,6695,13184,13785,12578,20220,21176,19273,"India"
2020-07-05,285617,297834,273822,1382625,1443845,1322904,1668242,1741679,1596726,714617,746072,685412,4232238,4415261,4046340,4946855,5161333,4731752,7300,7672,6940,13722,14342,13107,21022,22014,20047,"India"
2020-07-06,294670,307329,282397,1435532,1498726,1373076,1730202,1806055,1655473,739688,772182,709319,4404879,4594962,4210894,5144567,5367144,4920213,7573,7948,7203,14279,14912,13640,21852,22860,20843,"India"
2020-07-07,304152,317237,291550,1490482,1556266,1425973,1794634,1873503,1717523,765710,799289,734472,4584170,4782198,4382382,5349880,5581487,5116854,7856,8252,7459,14856,15517,14194,22712,23769,21653,"India"
2020-07-08,314109,327383,301189,1547466,1615710,1480379,1861575,1943093,1781568,792737,827216,760554,4770347,4977017,4559742,5563084,5804233,5320296,8146,8552,7737,15454,16144,14766,23600,24696,22503,"India"
2020-07-09,324525,338319,311249,1606494,1676757,1536396,1931019,2015076,1847645,820780,856438,787492,4963525,5177820,4744417,5784305,6034258,5531909,8445,8863,8038,16074,16805,15374,24519,25668,23412,"India"
2020-07-10,335424,349649,321935,1667693,1740684,1595182,2003117,2090333,1917117,849887,886683,815714,5164002,5387576,4936623,6013889,6274259,5752337,8755,9198,8339,16719,17460,15990,25474,26658,24329,"India"
2020-07-11,346811,361690,332839,1731060,1806580,1656186,2077871,2168270,1989025,880097,918162,844584,5372008,5604234,5135817,6252105,6522396,5980401,9076,9521,8648,17385,18158,16626,26461,27679,25274,"India"
2020-07-12,358683,374044,344309,1796712,1874447,1718642,2155395,2248491,2062951,911431,950865,874859,5587861,5828587,5342050,6499292,6779452,6216909,9408,9867,8975,18078,18878,17270,27486,28745,26245,"India"
2020-07-13,371058,386615,356076,1864743,1945790,1784060,2235801,2332405,2140136,943938,984412,905878,5811792,6062497,5556598,6755730,7046909,6462476,9751,10233,9306,18797,19623,17951,28548,29856,27257,"India"
2020-07-14,383956,400060,368229,1935133,2018701,1851784,2319089,2418761,2220013,977658,1019378,937928,6044069,6303795,5779458,7021727,7323173,6717386,10104,10609,9645,19539,20384,18649,29643,30993,28294,"India"
2020-07-15,397397,414026,381291,2008048,2094698,1922084,2405445,2508724,2303375,1012643,1055929,971604,6285018,6555426,6010849,7297661,7611355,6982453,10470,10998,9994,20313,21186,19400,30783,32184,29394,"India"
2020-07-16,411385,428385,394517,2083608,2174490,1994665,2494993,2602875,2389182,1048925,1093289,1006361,6534953,6816136,6250416,7583878,7909425,7256777,10850,11394,10362,21109,22044,20140,31959,33438,30502,"India"
2020-07-17,425936,443408,408724,2161842,2256193,2070239,2587778,2699601,2478963,1086558,1132327,1042609,6794152,7086925,6499170,7880710,8219252,7541779,11244,11799,10732,21940,22882,20939,33184,34681,31671,"India"
2020-07-18,441070,459279,423310,2242947,2341040,2148375,2684017,2800319,2571685,1125588,1172979,1080214,7063019,7367189,6757371,8188607,8540168,7837585,11649,12227,11122,22798,23789,21794,34447,36016,32916,"India"
