"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-08-14,927643,967226,890316,4028022,4200891,3859384,496269,517275,476538,1700402,1771576,1631437,29446,30774,28307,12942141,13491662,12397608,60345,62931,57754,"India"
2020-08-15,940453,980525,902800,4069025,4244018,3897439,504222,525577,484203,1751568,1825032,1680246,30330,31694,29117,13331585,13896729,12771123,62177,64815,59485,"India"
2020-08-16,953205,994116,915124,4110580,4287268,3938168,512171,533825,492008,1803453,1879075,1730358,31231,32619,29998,13725074,14306613,13147894,64031,66736,61269,"India"
2020-08-17,965916,1007434,927265,4152658,4331393,3978559,520071,541996,499551,1856042,1934076,1780730,32143,33581,30885,14122644,14720228,13528626,65908,68637,63116,"India"
2020-08-18,978642,1020689,939225,4195346,4375961,4018801,527953,550161,507254,1909312,1989884,1832010,33068,34553,31723,14524415,15138988,13913576,67811,70614,64926,"India"
2020-08-19,991363,1033853,951294,4238594,4421204,4060284,535840,558425,514684,1963279,2046160,1883897,34001,35515,32653,14930397,15561290,14301743,69735,72644,66801,"India"
2020-08-20,1004058,1046815,963823,4282545,4467345,4102358,543701,566246,522196,2017959,2102931,1936350,34949,36513,33542,15340616,15988570,14694482,71683,74626,68646,"India"
2020-08-21,1016834,1059733,975812,4327045,4513928,4145194,551566,574727,529746,2073319,2160624,1989721,35910,37518,34477,15755204,16419368,15092109,73653,76718,70520,"India"
2020-08-22,1029623,1073028,988106,4372158,4559920,4187025,559439,582979,537334,2129385,2219288,2043455,36885,38526,35388,16174170,16855802,15493996,75644,78794,72372,"India"
2020-08-23,1042436,1086545,1000610,4417889,4606949,4230427,567321,591241,544975,2186154,2278307,2098052,37868,39556,36317,16597543,17296482,15899875,77663,80851,74351,"India"
2020-08-24,1055271,1100152,1012864,4464185,4655163,4273756,575196,599392,552403,2243639,2338464,2153211,38864,40588,37276,17025454,17741783,16310152,79705,82997,76279,"India"
2020-08-25,1068198,1113350,1025191,4511163,4703469,4319828,583102,607707,559836,2301809,2399083,2208780,39874,41598,38247,17457878,18191558,16724026,81771,85138,78222,"India"
2020-08-26,1081141,1126370,1037308,4558728,4752346,4365340,591050,615607,567464,2360711,2460512,2265557,40895,42678,39235,17894918,18646677,17143008,83860,87343,80262,"India"
2020-08-27,1094170,1139694,1049814,4606837,4800833,4411382,599010,623924,575230,2420300,2522436,2322677,41926,43746,40259,18336688,19105611,17565723,85971,89523,82297,"India"
2020-08-28,1107230,1153448,1062773,4655583,4851097,4457610,606975,632183,582783,2480626,2585513,2380383,42973,44834,41260,18783105,19570400,17993211,88106,91745,84371,"India"
2020-08-29,1120352,1167084,1075364,4704893,4902549,4505363,614970,640357,590554,2541689,2649459,2438851,44029,45910,42267,19234272,20039010,18425358,90269,93962,86448,"India"
2020-08-30,1133570,1180783,1088268,4754787,4955222,4553520,622972,648649,598246,2603457,2713525,2498280,45101,47029,43293,19690347,20512558,18862083,92460,96222,88536,"India"
2020-08-31,1146844,1194355,1100934,4805170,5007321,4601368,631018,657136,605975,2665954,2778607,2558204,46182,48140,44337,20151300,20992304,19304274,94670,98564,90635,"India"
2020-09-01,1180605,1229370,1133436,4827039,5031006,4620600,647862,674832,622101,2729186,2844157,2619130,47278,49282,45450,20617172,21476427,19750757,96909,100879,92783,"India"
2020-09-02,1209935,1260349,1161488,4834762,5039969,4626190,662920,690723,636874,2794266,2911850,2681930,48408,50477,46539,21085681,21963878,20199529,99174,103243,94928,"India"
2020-09-03,1235673,1286877,1186671,4832730,5038367,4623811,676554,704791,649942,2860975,2981135,2745938,49564,51682,47676,21555497,22452050,20649081,101464,105589,97136,"India"
2020-09-04,1258558,1310466,1208663,4824112,5029530,4614971,689039,717985,661973,2929109,3051977,2811235,50743,52922,48783,22025652,22941068,21098955,103773,108024,99325,"India"
2020-09-05,1279103,1331666,1229151,4811318,5016695,4602990,700551,729823,673222,2998495,3124312,2877876,51944,54153,49942,22495475,23429244,21548967,106092,110457,101566,"India"
2020-09-06,1297656,1350966,1246858,4795838,5000286,4589230,711272,740673,683608,3069006,3197552,2945820,53167,55412,51111,22964559,23917814,21998242,108429,112841,103850,"India"
2020-09-07,1314621,1368499,1263037,4778989,4981778,4573017,721286,751010,693282,3140547,3271957,3014604,54406,56704,52263,23432610,24405382,22445985,110774,115261,106102,"India"
2020-09-08,1330132,1384454,1277694,4761603,4963522,4556721,730728,760797,702290,3213015,3347503,3084261,55661,58041,53480,23899375,24890958,22892238,113127,117701,108373,"India"
2020-09-09,1344415,1399171,1291380,4744018,4944866,4539464,739623,769875,710542,3286357,3423898,3154913,56934,59366,54672,24364918,25375853,23337915,115490,120137,110652,"India"
2020-09-10,1357633,1412976,1303834,4726706,4926474,4523867,748056,778544,718652,3360465,3501464,3226395,58217,60699,55907,24829204,25859469,23781958,117857,122620,112950,"India"
2020-09-11,1369866,1425540,1316075,4709993,4908813,4508718,756053,787002,725872,3435310,3579382,3298337,59514,62037,57196,25292207,26341946,24225512,120235,125039,115164,"India"
2020-09-12,1381230,1437656,1327117,4694039,4890301,4492691,763652,795110,733193,3510830,3657989,3370987,60825,63410,58455,25753937,26822253,24668159,122616,127474,117468,"India"
2020-09-13,1391846,1448152,1337061,4678879,4874147,4478633,770886,802382,740161,3586960,3737467,3444007,62143,64780,59746,26214486,27301753,25109324,125009,129983,119755,"India"
2020-09-14,1401749,1458430,1346887,4664575,4859161,4465955,777767,809356,746756,3663686,3817697,3517841,63473,66181,60994,26673888,27779484,25548781,127397,132455,122041,"India"
2020-09-15,1411009,1467925,1356360,4651171,4844688,4452301,784328,815979,753340,3740946,3898084,3591834,64816,67614,62279,27132254,28256855,25987770,129800,134970,124329,"India"
2020-09-16,1419679,1477185,1364983,4638694,4830960,4442060,790616,822503,759417,3818714,3979573,3666632,66161,69040,63560,27589558,28733378,26425144,132204,137511,126666,"India"
2020-09-17,1427780,1485207,1372760,4627061,4818840,4431498,796636,828716,765268,3896970,4061101,3742055,67518,70469,64821,28045997,29207819,26861445,134615,140052,128961,"India"
2020-09-18,1435380,1493097,1380484,4616228,4808882,4421406,802392,834998,770949,3975683,4142959,3817519,68881,71888,66137,28501552,29681596,27297444,137025,142523,131275,"India"
