date,esir.arc.estim,esir.arc.low,esir.arc.high,esir.crc.estim,esir.crc.low,esir.crc.high,esir.crd.estim,esir.crd.low,esir.crd.high,esir.arc.width,esir.crc.width,esir.crd.width
2020-12-08T00:00:00Z,1658314,707620,3046464,13268039,9624501,17932941,198221,152369,253963,2338844,8308440,101594
2020-12-09T00:00:00Z,1680760,705500,3109200,13422485,9687945,18233040,200473,153491,258009,2403700,8545095,104518
2020-12-10T00:00:00Z,1703546,710204,3175077,13579256,9757241,18545010,202760,154594,262204,2464873,8787769,107610
2020-12-11T00:00:00Z,1726646,711691,3233938,13738247,9821608,18847487,205079,155669,266358,2522247,9025879,110689
2020-12-12T00:00:00Z,1750116,715529,3296464,13898412,9885745,19163378,207412,156700,270678,2580935,9277633,113978
2020-12-13T00:00:00Z,1774050,716223,3366421,14061651,9951292,19482161,209790,157809,274919,2650198,9530869,117110
2020-12-14T00:00:00Z,1798196,719471,3426369,14226976,10015168,19793436,212200,158846,279205,2706898,9778268,120359
2020-12-15T00:00:00Z,1822755,721786,3497729,14394673,10089287,20131148,214643,160074,283745,2775943,10041861,123671
2020-12-16T00:00:00Z,1847603,723388,3561530,14564401,10145980,20464881,217115,161015,288348,2838142,10318901,127333
2020-12-17T00:00:00Z,1872793,727534,3631636,14736590,10218305,20812810,219624,162181,293084,2904102,10594505,130903
2020-12-18T00:00:00Z,1898433,731084,3710127,14911015,10293497,21163147,222163,163405,297717,2979043,10869650,134312
2020-12-19T00:00:00Z,1924080,733031,3775937,15087670,10364639,21518297,224740,164588,302652,3042906,11153658,138064
2020-12-20T00:00:00Z,1950114,733882,3852128,15266400,10424785,21888636,227347,165603,307667,3118246,11463851,142064
2020-12-21T00:00:00Z,1976783,736223,3924853,15447920,10492496,22254388,229990,166720,312663,3188630,11761892,145943
2020-12-22T00:00:00Z,2003695,738264,3998032,15631851,10560715,22644128,232670,167852,318062,3259768,12083413,150210
2020-12-23T00:00:00Z,2030783,742359,4078128,15818650,10640807,23038553,235395,169151,323420,3335769,12397746,154269
2020-12-24T00:00:00Z,2058223,743383,4160313,16007563,10707302,23428468,238151,170271,328666,3416930,12721166,158395
2020-12-25T00:00:00Z,2086028,746638,4240869,16198168,10766643,23840069,240930,171229,334311,3494231,13073426,163082
2020-12-26T00:00:00Z,2114303,748264,4316546,16392000,10840698,24225522,243756,172468,339593,3568282,13384824,167125
2020-12-27T00:00:00Z,2142935,752990,4402316,16588864,10914935,24643467,246627,173656,345256,3649326,13728532,171600
2020-12-28T00:00:00Z,2172244,755665,4488362,16788727,10985701,25086053,249538,174820,351335,3732697,14100352,176515
2020-12-29T00:00:00Z,2201821,758725,4569094,16990862,11059467,25510921,252483,176029,357204,3810369,14451454,181175
2020-12-30T00:00:00Z,2231817,762730,4657609,17195996,11130707,25960084,255472,177178,363354,3894879,14829377,186176
2020-12-31T00:00:00Z,2262118,763816,4748595,17403625,11202157,26407532,258499,178382,369431,3984779,15205375,191049
